dataset,seed,policy,latency_ms,utility_gap,feasible,exact_fallback_rate,router_context
mnist_sum_k_v1,3,exact_first,995.7207928352517,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1496.1056685689796,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1952.7621821553305,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,980.4535610078003,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1314.2210642545047,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1216.391964905433,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,980.5424416351652,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1490.381103432416,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1506.8294319846907,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1587.9081785250019,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1471.4716587174441,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1710.460786675355,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1371.6589474571592,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1634.600258237174,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1525.1922556972042,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1100.616368187219,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1538.8984321287937,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1939.6872265312209,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,827.8909553023287,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,829.6041649993856,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1614.3994234027605,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1506.8459021389028,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1460.090068867312,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1317.784980111309,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1440.3800220401613,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1172.5326780798812,0.0,1,0,tw_only|none|0.05
