dataset,seed,policy,latency_ms,utility_gap,feasible,exact_fallback_rate,router_context
mnist_sum_k_v1,3,exact_first,1033.7355340653794,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1056.3911963194591,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1242.6285564044788,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1726.8637943171686,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1407.8111109147987,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1184.7596717957686,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1447.9207610325443,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1066.4451537534346,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1055.5474684240653,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1589.0396492215348,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1405.7704038771296,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1061.9015577305772,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1329.3542171032007,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1526.691786084354,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1434.9028910719614,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1522.6609503474026,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1433.6202902682212,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1423.748901424041,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,890.2795187206098,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1476.025042029345,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1603.578049639783,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1520.0260456456997,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1229.5443226146876,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1195.686553940065,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1272.1162744145886,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1608.158810728304,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,2049.7977360627056,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1404.5290491701865,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,822.2875592371045,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1578.845176518003,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1015.1110493320654,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1406.6172958785933,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1875.4954491160356,0.0,1,1,tw_only|none|0.05
