dataset,seed,instance_id,tw_proxy,chosen_backend,regret_s,bound_violation,semantic_pass
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_frumpy,0.018487666849978268,0,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_frumpy,0.007899750024080276,0,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_frumpy,0.013820957974530756,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_frumpy,0.0,0,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,comp_trendy_proxy,0.01640120812226087,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_frumpy,0.008048292016610503,0,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,comp_trendy_proxy,0.012479082914069295,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_frumpy,0.0024514170363545418,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,comp_trendy_proxy,0.0,0,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_frumpy,0.0,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_frumpy,0.0,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_frumpy,0.0,0,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_frumpy,0.0015904989559203386,0,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,comp_trendy_proxy,0.010239041992463171,0,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,comp_trendy_proxy,0.03676979092415422,1,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_frumpy,0.0004099999787285924,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_frumpy,0.000861124019138515,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,comp_trendy_proxy,0.014749167021363974,0,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_frumpy,0.0012970829848200083,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,comp_trendy_proxy,0.0046757078962400556,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_001,54,comp_trendy_proxy,0.010403749067336321,0,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_002,13,comp_trendy_proxy,0.0010711658978834748,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_000,17,comp_trendy_proxy,0.0,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_001,35,enum_frumpy,0.0,0,1
sudoku_4x4_v1,9,sudoku_4x4_v1_9_002,48,enum_frumpy,0.0,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_000,48,enum_frumpy,0.027133333031088114,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_001,12,comp_trendy_proxy,0.004537500091828406,0,1
sudoku_4x4_v1,11,sudoku_4x4_v1_11_002,18,comp_trendy_proxy,0.0,0,1
formula_eval_v1,3,formula_eval_v1_3_000,47,enum_frumpy,0.0,0,1
formula_eval_v1,3,formula_eval_v1_3_001,55,enum_frumpy,0.015526833012700081,0,1
formula_eval_v1,3,formula_eval_v1_3_002,35,enum_frumpy,0.0,0,1
formula_eval_v1,5,formula_eval_v1_5_000,15,comp_trendy_proxy,0.013709292165003717,0,1
formula_eval_v1,5,formula_eval_v1_5_001,34,enum_frumpy,0.0,0,1
formula_eval_v1,5,formula_eval_v1_5_002,39,enum_frumpy,0.01254795806016773,0,1
formula_eval_v1,7,formula_eval_v1_7_000,28,enum_frumpy,0.0,0,1
formula_eval_v1,7,formula_eval_v1_7_001,51,enum_frumpy,0.004857375053688884,0,1
formula_eval_v1,7,formula_eval_v1_7_002,19,comp_trendy_proxy,0.0,0,1
formula_eval_v1,9,formula_eval_v1_9_000,15,comp_trendy_proxy,0.007646749960258603,0,1
formula_eval_v1,9,formula_eval_v1_9_001,40,enum_frumpy,0.0023119159741327167,0,1
formula_eval_v1,9,formula_eval_v1_9_002,18,comp_trendy_proxy,0.0,0,1
formula_eval_v1,11,formula_eval_v1_11_000,45,enum_frumpy,0.022316791000775993,0,1
formula_eval_v1,11,formula_eval_v1_11_001,23,comp_trendy_proxy,0.0355769160669297,1,1
formula_eval_v1,11,formula_eval_v1_11_002,18,comp_trendy_proxy,0.0031501250341534615,0,1
ordering_v1,3,ordering_v1_3_000,40,enum_frumpy,0.0032947490690276027,0,1
ordering_v1,3,ordering_v1_3_001,54,comp_trendy_proxy,0.0,0,1
ordering_v1,3,ordering_v1_3_002,34,enum_frumpy,0.014504749909974635,0,1
ordering_v1,5,ordering_v1_5_000,35,enum_frumpy,0.0,0,1
ordering_v1,5,ordering_v1_5_001,47,enum_frumpy,0.0,0,1
ordering_v1,5,ordering_v1_5_002,44,comp_trendy_proxy,0.0,0,1
ordering_v1,7,ordering_v1_7_000,21,comp_trendy_proxy,0.0,0,1
ordering_v1,7,ordering_v1_7_001,30,enum_frumpy,0.0,0,1
ordering_v1,7,ordering_v1_7_002,40,comp_trendy_proxy,0.0,0,1
ordering_v1,9,ordering_v1_9_000,24,comp_trendy_proxy,0.0,0,1
ordering_v1,9,ordering_v1_9_001,50,enum_frumpy,0.005642207921482623,0,1
ordering_v1,9,ordering_v1_9_002,25,comp_trendy_proxy,0.0,0,1
ordering_v1,11,ordering_v1_11_000,7,comp_trendy_proxy,0.00033599999733269215,0,1
ordering_v1,11,ordering_v1_11_001,29,enum_frumpy,0.0,0,1
ordering_v1,11,ordering_v1_11_002,5,comp_trendy_proxy,0.0,0,1
counting_v1,3,counting_v1_3_000,23,comp_trendy_proxy,0.004622876062057912,0,1
counting_v1,3,counting_v1_3_001,25,comp_trendy_proxy,0.0,0,1
counting_v1,3,counting_v1_3_002,40,enum_frumpy,0.0,0,1
counting_v1,5,counting_v1_5_000,40,enum_frumpy,0.06788158195558935,1,1
counting_v1,5,counting_v1_5_001,13,comp_trendy_proxy,0.019205500022508204,0,1
counting_v1,5,counting_v1_5_002,33,enum_frumpy,0.026570625021122396,0,1
counting_v1,7,counting_v1_7_000,38,enum_frumpy,0.0,0,1
counting_v1,7,counting_v1_7_001,24,comp_trendy_proxy,0.0,0,1
counting_v1,7,counting_v1_7_002,12,comp_trendy_proxy,0.0,0,1
